config,performance,traffic
sys DO store 64B sync 64B n 2 link 25,1.0,1.0
sys DO store 64B sync 64B n 2 link 50,1.0,1.0
sys DO store 64B sync 64B n 2 link 75,1.0,1.0
sys DO store 64B sync 64B n 2 link 100,1.0,1.0
sys DO store 64B sync 64B n 2 link 125,1.0,1.0
sys DO store 64B sync 64B n 2 link 150,1.0,1.0
sys DO store 64B sync 64B n 2 link 175,1.0,1.0
sys DO store 64B sync 64B n 2 link 200,1.0,1.0
sys SO store 64B sync 64B n 2 link 25,1.9808892355694228,1.1428571428571428
sys SO store 64B sync 64B n 2 link 50,2.2784152025815705,1.1428571428571428
sys SO store 64B sync 64B n 2 link 75,2.531187790311878,1.1428571428571428
sys SO store 64B sync 64B n 2 link 100,2.7489966038900895,1.1428571428571428
sys SO store 64B sync 64B n 2 link 125,2.94356005788712,1.1428571428571428
sys SO store 64B sync 64B n 2 link 150,3.1044857026697383,1.1428571428571428
sys SO store 64B sync 64B n 2 link 175,3.252171691364333,1.1428571428571428
sys SO store 64B sync 64B n 2 link 200,3.38342594829669,1.1428571428571428
sys MP store 64B sync 64B n 2 link 25,1.0,1.0
sys MP store 64B sync 64B n 2 link 50,1.0,1.0
sys MP store 64B sync 64B n 2 link 75,1.0,1.0
sys MP store 64B sync 64B n 2 link 100,1.0,1.0
sys MP store 64B sync 64B n 2 link 125,1.0,1.0
sys MP store 64B sync 64B n 2 link 150,1.0,1.0
sys MP store 64B sync 64B n 2 link 175,1.0,1.0
sys MP store 64B sync 64B n 2 link 200,1.0,1.0
sys DO store 64B sync 512B n 2 link 25,1.0,1.0
sys DO store 64B sync 512B n 2 link 50,1.0,1.0
sys DO store 64B sync 512B n 2 link 75,1.0,1.0
sys DO store 64B sync 512B n 2 link 100,1.0,1.0
sys DO store 64B sync 512B n 2 link 125,1.0,1.0
sys DO store 64B sync 512B n 2 link 150,1.0,1.0
sys DO store 64B sync 512B n 2 link 175,1.0,1.0
sys DO store 64B sync 512B n 2 link 200,1.0,1.0
sys SO store 64B sync 512B n 2 link 25,1.8125871957835995,1.1904761904761905
sys SO store 64B sync 512B n 2 link 50,2.0636139689900013,1.1904761904761905
sys SO store 64B sync 512B n 2 link 75,2.2829367777022433,1.1904761904761905
sys SO store 64B sync 512B n 2 link 100,2.4792975259582106,1.1904761904761905
sys SO store 64B sync 512B n 2 link 125,2.6318474432163246,1.1904761904761905
sys SO store 64B sync 512B n 2 link 150,2.808987472704287,1.1904761904761905
sys SO store 64B sync 512B n 2 link 175,2.9495137143481585,1.1904761904761905
sys SO store 64B sync 512B n 2 link 200,3.0768669930215604,1.1904761904761905
sys MP store 64B sync 512B n 2 link 25,1.0,1.0
sys MP store 64B sync 512B n 2 link 50,1.0,1.0
sys MP store 64B sync 512B n 2 link 75,1.0,1.0
sys MP store 64B sync 512B n 2 link 100,1.0,1.0
sys MP store 64B sync 512B n 2 link 125,1.0,1.0
sys MP store 64B sync 512B n 2 link 150,1.0,1.0
sys MP store 64B sync 512B n 2 link 175,1.0,1.0
