Applications,DO performance,DO traffic,SO performance,SO traffic,WB performance,WB traffic,MP performance,MP traffic
PR CXL,169.364,6044800.0,193.0515,9582000.0,172.9595,17484400.0,166.5975,6053760.0
SSSP CXL,150.5025,4102544.0,183.232,4219936.0,191.2285,4034752.0,149.809,3921040.0
BC CXL,149.809,3921040.0,149.809,3921040.0,149.809,3921040.0,149.809,3921040.0
PAD CXL,7.569,479168.0,8.4995,534704.0,10.905,570448.0,7.569,405568.0
TQH CXL,25.614,537360.0,27.321,530288.0,31.825,605392.0,25.5865,524912.0
HSTI CXL,6.381,411168.0,8.51,411168.0,13.608,582080.0,6.381,411168.0
TRNS CXL,14.6645,7250064.0,18.914,7079760.0,36.5015,8503296.0,14.0015,7079760.0
MOCFE CXL,6.485600965250964,17472.864,8.809560608108109,14411.392,13.955351750965251,70054.512,5.481607893822394,12317.408
CMC-2D CXL,3.5055144736842108,259360.0,5.2346644736842105,308224.0,6.730161473684211,354416.0,3.195559473684211,258048.0
BigFFT CXL,14.895241189674522,1553600.0,19.06154440396024,1777664.0,38.78670038808722,4902480.0,14.866027642055476,1490944.0
CR CXL,0.5333333333333333,1344.0,0.8808333333333334,1600.0,1.6258333333333335,5280.0,0.5333333333333333,1344.0
PR UPI,120.053,6160128.0,134.0045,9681920.0,128.0245,17580944.0,118.9895,6117632.0
SSSP UPI,76.982,4131328.0,84.913,4444032.0,109.6795,4249296.0,76.8185,4145136.0
BC UPI,76.8185,4145136.0,76.8185,4145136.0,76.8185,4145136.0,76.8185,4145136.0
PAD UPI,5.971,401136.0,6.201,517504.0,8.1125,603776.0,5.971,388368.0
TQH UPI,21.4565,437376.0,22.244,511552.0,24.55,620352.0,21.454,506176.0
HSTI UPI,4.4475,343456.0,5.477,343456.0,8.176,490752.0,4.4475,343456.0
TRNS UPI,10.4565,7359952.0,12.798,7064192.0,28.611,8954832.0,9.915,7064192.0
MOCFE UPI,3.5363101351351354,16622.528,4.675371206563707,14411.392,6.978985063706564,69867.256,3.261216277992278,12317.408
CMC-2D UPI,2.325067763157895,259072.0,2.943959263157895,308224.0,3.5883847631578947,354928.0,2.209656263157895,258048.0
BigFFT UPI,10.083299478916146,1569024.0,12.126541550344717,1777664.0,30.81197657415424,4803072.0,10.235609820185987,1490944.0
CR UPI,0.3746031746031746,1344.0,0.5136031746031746,1600.0,0.8666031746031746,5520.0,0.3746031746031746,1344.0
PR CXL norm,1.0,1.0,1.1398614817788904,1.5851641079936474,1.0212294230178787,2.8924695606140816,0.9836653598167261,1.0014822657490736
SSSP CXL norm,1.0,1.0,1.2174681483696284,1.028614440210757,1.2706001561435856,0.9834756190305333,0.9953921031212106,0.9557581832150978
BC CXL norm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAD CXL norm,1.0,1.0,1.122935658607478,1.1159008948844664,1.4407451446690447,1.1904968612261253,1.0,0.8464004274075063
TQH CXL norm,1.0,1.0,1.0666432419770437,0.9868393628107787,1.2424845787459982,1.1266041387524193,0.9989263683922854,0.9768348965311895
HSTI CXL norm,1.0,1.0,1.3336467638301206,1.0,2.1325811001410435,1.415674371546424,1.0,1.0
TRNS CXL norm,1.0,1.0,1.2897814449861913,0.9765100004634442,2.489106345255549,1.1728580602874679,0.9547887756145794,0.9765100004634442
MOCFE CXL norm,1.0,1.0,1.3583260295088502,0.8247870526549053,2.1517438130616227,4.00933195611206,0.8451966013931725,0.7049449935625893
CMC-2D CXL norm,1.0,1.0,1.4932656855308046,1.1884022208513263,1.9198783870976217,1.3665021591610118,0.9115807387683541,0.9949413942011104
BigFFT CXL norm,1.0,1.0,1.2797069991168608,1.1442224510813594,2.60396591731421,3.1555612770339856,0.9980387328243266,0.9596704428424305
CR CXL norm,1.0,1.0,1.6515625,1.1904761904761905,3.0484375000000004,3.9285714285714284,1.0,1.0
PR UPI norm,1.0,1.0,1.1162111733984157,1.5717076008810207,1.0663998400706354,2.853990046960063,0.9911414125427936,0.9931014420479575
SSSP UPI norm,1.0,1.0,1.103024083551999,1.075690915850787,1.4247421475150035,1.0285544986987236,0.9978761268868047,1.003342266699715
BC UPI norm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAD UPI norm,1.0,1.0,1.0385195109696868,1.2900961269993219,1.3586501423547146,1.5051653304614894,1.0,0.9681703960751465
TQH UPI norm,1.0,1.0,1.036702164845152,1.1695932104184958,1.144175424696479,1.4183494293239685,0.9998834851909679,1.1573017266608137
HSTI UPI norm,1.0,1.0,1.231478358628443,1.0,1.8383361439010681,1.4288642504425604,1.0,1.0
TRNS UPI norm,1.0,1.0,1.2239277004733897,0.959814955314926,2.7361927987376276,1.216697065415644,0.9482140295509969,0.959814955314926
MOCFE UPI norm,1.0,1.0,1.3221044048459973,0.8669795593065027,1.973521777506619,4.203166690409545,0.9222087863816999,0.7410069034024187
CMC-2D UPI norm,1.0,1.0,1.266182134476556,1.1897233201581028,1.5433463144679145,1.3699975296442688,0.9503620918801744,0.9960474308300395
BigFFT UPI norm,1.0,1.0,1.2026362576754686,1.1329743840757056,3.0557434735109363,3.0611845325501714,1.0151052085270618,0.9502365801925273
CR UPI norm,1.0,1.0,1.3710593220338982,1.1904761904761905,2.3133898305084744,4.107142857142857,1.0,1.0
