Applications,DO performance,DO traffic,SO performance,SO traffic,WB performance,WB traffic,MP performance,MP traffic
PR CXL,269.7625,19939856.0,1259.472,9526128.0,670.3345,17388816.0,268.566,4764608.0
SSSP CXL,163.45,4079280.0,198.8455,4266992.0,203.2,3935440.0,167.2785,1984048.0
BC CXL,167.2785,1984048.0,167.2785,1984048.0,167.2785,1984048.0,167.2785,1984048.0
PAD CXL,16.8255,469488.0,16.8185,598624.0,68.0025,1787488.0,16.8255,402418.2857142857
TQH CXL,25.7645,464800.0,39.2475,443232.0,80.3765,681264.0,25.757,375305.14285714284
HSTI CXL,6.431,424048.0,8.58,424048.0,16.4965,484960.0,6.431,363469.71428571426
TRNS CXL,48.7085,8048976.0,67.404,7962112.0,130.7435,8755248.0,48.1105,6824667.428571428
MOCFE CXL,8.102375386100386,21087.36,11.707495100386101,13949.056,17.966241243243243,66632.91200000001,7.163876814671815,8460.608
CMC-2D CXL,5.40253947368421,161312.0,14.42671097368421,161280.0,24.273330973684214,342472.0,5.0618329736842105,138240.0
BigFFT CXL,13.931522959756293,1180224.0,38.17881576928011,1032192.0,70.00952343594678,2714400.0,13.778263213724546,884736.0
CR CXL,2.0325396825396824,1728.0,4.480539682539682,1728.0,7.961039682539682,5456.0,2.0325396825396824,1481.142857142857
PR UPI,241.086,15336800.0,792.6425,9672592.0,442.732,17492080.0,239.859,4858080.0
SSSP UPI,80.191,4186592.0,85.0675,4436512.0,105.5265,4051968.0,80.35,2068808.0
BC UPI,80.35,2068808.0,80.35,2068808.0,80.35,2068808.0,80.35,2068808.0
PAD UPI,13.763,490560.0,13.7565,619696.0,41.7225,1807744.0,13.763,420480.0
TQH UPI,21.473,462928.0,34.096,447200.0,70.8905,709904.0,21.4485,378706.2857142857
HSTI UPI,4.503,363008.0,5.5395,363008.0,9.784,483536.0,4.503,311149.71428571426
TRNS UPI,27.3225,8091280.0,34.579,8032784.0,77.663,9204896.0,27.1255,6885243.428571428
MOCFE UPI,4.18921611969112,19847.808,5.727345619691119,13949.056,8.999636262548263,66936.192,3.8818515482625484,8460.608
CMC-2D UPI,3.1193677631578947,161312.0,6.9253002631578955,161280.0,12.294976263157894,342320.0,2.9317087631578946,138240.0
BigFFT UPI,8.535856950456951,1180672.0,18.438150418710922,1032192.0,35.85576566474267,2755920.0,8.302813696488698,884736.0
CR UPI,1.1357142857142857,1728.0,2.4562142857142857,1728.0,4.128714285714286,5520.0,1.1357142857142857,1481.142857142857
PR CXL norm,1.0,1.0,4.668817941707984,0.4777430689569674,2.48490616746212,0.872063268661519,0.9955646170242343,0.23894896733456852
SSSP CXL norm,1.0,1.0,1.2165524625267665,1.04601596360142,1.24319363719792,0.9647388754878312,1.0234230651575407,0.48637210488125354
BC CXL norm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAD CXL norm,1.0,1.0,0.99958396481531,1.2750570834611321,4.041633235267897,3.80731349896057,1.0,0.8571428571428571
TQH CXL norm,1.0,1.0,1.5233169671447147,0.9535972461273666,3.1196607735449935,1.4657142857142857,0.9997089017834617,0.8074551266289648
HSTI CXL norm,1.0,1.0,1.3341626496656818,1.0,2.565153164360131,1.14364411576048,1.0,0.8571428571428571
TRNS CXL norm,1.0,1.0,1.3838241785314678,0.9892080682064401,2.684202962521942,1.0877468140046636,0.9877228820431753,0.8478926298912344
MOCFE CXL norm,1.0,1.0,1.4449460241585812,0.6614889677987192,2.2174042039652107,3.1598508300707158,0.8841699468727944,0.40121703238338036
CMC-2D CXL norm,1.0,1.0,2.670357346569474,0.9998016266613767,4.492948379538863,2.123041063281095,0.9369358610594921,0.8569728228526086
BigFFT CXL norm,1.0,1.0,2.740462466276406,0.874572962420693,5.025259882798303,2.299902391410444,0.988999067332806,0.7496339677891655
CR CXL norm,1.0,1.0,2.2044045294806716,1.0,3.916794221007419,3.1574074074074074,1.0,0.8571428571428571
PR UPI norm,1.0,1.0,3.2877997892868107,0.6306786291794898,1.8364069253295505,1.1405299671378646,0.9949105298524178,0.31675968911376556
SSSP UPI norm,1.0,1.0,1.060811063585689,1.059695332146051,1.3159394445760746,0.9678440125046817,1.0019827661458267,0.49415085109798135
BC UPI norm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAD UPI norm,1.0,1.0,0.9995277192472573,1.2632420091324201,3.0314974932790815,3.685061969993477,1.0,0.8571428571428571
TQH UPI norm,1.0,1.0,1.5878545149722907,0.9660249542045415,3.3013784752945563,1.5335084505581862,0.9988590322730871,0.8180673575897023
HSTI UPI norm,1.0,1.0,1.2301798800799468,1.0,2.1727737064179435,1.3320257404795486,1.0,0.8571428571428571
TRNS UPI norm,1.0,1.0,1.2655869704456033,0.992770488723663,2.84245585140452,1.1376316231795216,0.9927898252356115,0.8509461331917111
MOCFE UPI norm,1.0,1.0,1.367164036433959,0.7028008332204745,2.1482864587114747,3.372472768781318,0.9266295739711718,0.42627417596945716
CMC-2D UPI norm,1.0,1.0,2.220097400810176,0.9998016266613767,3.941496225091159,2.1220987899226342,0.9398406939327912,0.8569728228526086
BigFFT UPI norm,1.0,1.0,2.160081937376407,0.8742411101474414,4.200605267034518,2.3341961188204685,0.9726983177763098,0.7493495229835212
CR UPI norm,1.0,1.0,2.162704402515723,1.0,3.6353459119496856,3.1944444444444446,1.0,0.8571428571428571
