config,performance,traffic
sys DO store 64B sync 64B n 2 link CXL,1.0,1.0
sys DO store 64B sync 64B n 2 link UPI,1.0,1.0
sys SO store 64B sync 64B n 2 link CXL,2.6279890239121912,1.1428571428571428
sys SO store 64B sync 64B n 2 link UPI,3.0174739423666463,1.1428571428571428
sys MP store 64B sync 64B n 2 link CXL,1.0,1.0
sys MP store 64B sync 64B n 2 link UPI,1.0,1.0
sys DO store 64B sync 512B n 2 link CXL,1.0,1.0
sys DO store 64B sync 512B n 2 link UPI,1.0,1.0
sys SO store 64B sync 512B n 2 link CXL,2.586005483371081,1.1904761904761905
sys SO store 64B sync 512B n 2 link UPI,2.7518634287088246,1.1904761904761905
sys MP store 64B sync 512B n 2 link CXL,1.0,1.0
sys MP store 64B sync 512B n 2 link UPI,1.0,1.0
sys DO store 64B sync 4KB n 2 link CXL,1.0,1.0
sys DO store 64B sync 4KB n 2 link UPI,1.0,1.0
sys SO store 64B sync 4KB n 2 link CXL,1.8609282606270225,1.1987577639751552
sys SO store 64B sync 4KB n 2 link UPI,1.4791626778990363,1.1987577639751552
sys MP store 64B sync 4KB n 2 link CXL,1.0,1.0
sys MP store 64B sync 4KB n 2 link UPI,1.0,1.0
sys DO store 64B sync 32KB n 2 link CXL,1.0,1.0
sys DO store 64B sync 32KB n 2 link UPI,1.0,1.0
sys SO store 64B sync 32KB n 2 link CXL,1.2195425051261795,1.1998438719750195
sys SO store 64B sync 32KB n 2 link UPI,1.0882315567818763,1.1998438719750195
sys MP store 64B sync 32KB n 2 link CXL,1.0,1.0
sys MP store 64B sync 32KB n 2 link UPI,1.0,1.0
sys DO store 64B sync 256KB n 2 link CXL,1.0,1.0
sys DO store 64B sync 256KB n 2 link UPI,1.0,1.0
sys SO store 64B sync 256KB n 2 link CXL,1.0284634077994148,1.1999804706571624
sys SO store 64B sync 256KB n 2 link UPI,1.0113386361745593,1.1999804706571624
sys MP store 64B sync 256KB n 2 link CXL,1.0,1.0
sys MP store 64B sync 256KB n 2 link UPI,1.0,1.0
sys DO store 64B sync 2MB n 2 link CXL,1.0,1.0
sys DO store 64B sync 2MB n 2 link UPI,1.0,1.0
sys SO store 64B sync 2MB n 2 link CXL,1.003441520508265,1.199997558623552
sys SO store 64B sync 2MB n 2 link UPI,1.0014189076277678,1.199997558623552
sys MP store 64B sync 2MB n 2 link CXL,1.0,1.0
sys MP store 64B sync 2MB n 2 link UPI,1.0,1.0
sys DO store 64B sync 4KB n 2 link CXL,1.0,1.0
sys DO store 64B sync 4KB n 2 link UPI,1.0,1.0
sys SO store 64B sync 4KB n 2 link CXL,1.8609282606270225,1.1987577639751552
sys SO store 64B sync 4KB n 2 link UPI,1.4791626778990363,1.1987577639751552
sys MP store 64B sync 4KB n 2 link CXL,1.0,1.0
sys MP store 64B sync 4KB n 2 link UPI,1.0,1.0
sys DO store 64B sync 4KB n 4 link CXL,1.0,1.0
sys DO store 64B sync 4KB n 4 link UPI,1.0,1.0
sys SO store 64B sync 4KB n 4 link CXL,1.376597272074659,1.1850877192982456
sys SO store 64B sync 4KB n 4 link UPI,1.4278552404825318,1.1850877192982456
sys MP store 64B sync 4KB n 4 link CXL,0.745010768126346,0.9885964912280701
sys MP store 64B sync 4KB n 4 link UPI,0.9558201472661758,0.9885964912280701
sys DO store 64B sync 4KB n 8 link CXL,1.0,1.0
sys DO store 64B sync 4KB n 8 link UPI,1.0,1.0
sys SO store 64B sync 4KB n 8 link CXL,1.3126324368378157,1.167843250252125
sys SO store 64B sync 4KB n 8 link UPI,1.2678919285169814,1.1659953970080552
sys MP store 64B sync 4KB n 8 link CXL,0.8177669111654441,0.9742112087595447
sys MP store 64B sync 4KB n 8 link UPI,0.9748454306767171,0.9726697353279632
sys DO store 8B sync 4KB n 2 link CXL,1.0,1.0
sys DO store 8B sync 4KB n 2 link UPI,1.0,1.0
sys SO store 8B sync 4KB n 2 link CXL,1.128514824429567,1.9961089494163424
sys SO store 8B sync 4KB n 2 link UPI,1.0553314635137412,1.9961089494163424
