config,performance,traffic
SEQ 8 CXL,1.2322935200449663,1.0
DO 8 8 CXL,1.232293520044966,1.0
DO 8 16 CXL,1.0009144576374152,1.0
DO 8 32 CXL,1.000007102610579,1.0
SEQ 40 CXL,1.0,1.199997558623552
DO 4 32 CXL,1.0001134349002883,1.0
DO 16 32 CXL,1.0000000414819654,1.199997558623552
SEQ 8 UPI,1.0777840337972728,1.0
DO 8 8 UPI,1.0777840337972728,1.0
DO 8 16 UPI,1.0003062082995735,1.0
DO 8 32 UPI,1.0000023783259266,1.0
SEQ 40 UPI,1.0,1.199997558623552
DO 4 32 UPI,1.0000379839442621,1.0
DO 16 32 UPI,1.0000000138903342,1.199997558623552
